nivel,tipo,codigo,n_casos,n_evaluables_D1,n_evaluables_D2,n_evaluables_D3,n_evaluables_D4,n_evaluables_D5,n_evaluables_D6,n_evaluables_D7,D1_correccion,D2_diagnostico,D3_socratismo_adaptacion,D4_claridad,D5_matices,D6_fidelidad_documental,D7_transferencia_seguridad,media_global,indice_pedagogico,indice_linguistico,indice_documental,interpretacion
global,global,TOTAL,65,63,65,65,65,65,65,65,3.98,3.98,3.72,3.88,3.75,2.34,3.80,3.63,3.85,3.91,2.34,Adecuado alto
bloque,bloque,A,41,41,41,41,41,41,41,41,3.98,4.00,3.73,4.00,3.73,2.17,3.80,3.63,3.88,3.90,2.17,Adecuado alto
bloque,bloque,B,18,18,18,18,18,18,18,18,4.00,4.00,3.83,3.67,3.89,2.78,3.89,3.72,3.85,3.96,2.78,Adecuado alto
bloque,bloque,C,6,4,6,6,6,6,6,6,4.00,3.83,3.33,3.67,3.50,2.17,3.50,3.39,3.58,3.75,2.17,Adecuado alto
subbloque,subbloque,A1,10,10,10,10,10,10,10,10,3.90,4.00,3.80,4.00,3.80,2.80,3.70,3.71,3.88,3.90,2.80,Adecuado alto
subbloque,subbloque,A2,6,6,6,6,6,6,6,6,4.00,4.00,3.67,4.00,3.50,2.33,3.67,3.60,3.83,3.83,2.33,Adecuado alto
subbloque,subbloque,A3,6,6,6,6,6,6,6,6,4.00,4.00,4.00,4.00,4.00,2.00,4.00,3.71,4.00,4.00,2.00,Adecuado alto
subbloque,subbloque,A4,4,4,4,4,4,4,4,4,4.00,4.00,4.00,4.00,4.00,2.50,4.00,3.79,4.00,4.00,2.50,Excelente
subbloque,subbloque,A5,6,6,6,6,6,6,6,6,4.00,4.00,4.00,4.00,4.00,2.67,4.00,3.81,4.00,4.00,2.67,Excelente
subbloque,subbloque,A6,5,5,5,5,5,5,5,5,4.00,4.00,3.20,4.00,3.20,1.00,4.00,3.35,3.80,3.73,1.00,Adecuado alto
subbloque,subbloque,A7,4,4,4,4,4,4,4,4,4.00,4.00,3.25,4.00,3.50,1.00,3.25,3.29,3.62,3.83,1.00,Adecuado alto
subbloque,subbloque,B1,3,3,3,3,3,3,3,3,4.00,4.00,4.00,4.00,4.00,3.00,4.00,3.86,4.00,4.00,3.00,Excelente
subbloque,subbloque,B2,3,3,3,3,3,3,3,3,4.00,4.00,4.00,3.00,3.67,3.00,4.00,3.66,3.75,3.89,3.00,Adecuado alto
subbloque,subbloque,B3,3,3,3,3,3,3,3,3,4.00,4.00,3.00,3.00,4.00,3.00,4.00,3.57,3.50,4.00,3.00,Adecuado alto
subbloque,subbloque,B4,3,3,3,3,3,3,3,3,4.00,4.00,4.00,4.00,4.00,2.33,4.00,3.76,4.00,4.00,2.33,Excelente
subbloque,subbloque,B5,2,2,2,2,2,2,2,2,4.00,4.00,4.00,4.00,3.50,3.00,4.00,3.79,4.00,3.83,3.00,Excelente
subbloque,subbloque,B6,2,2,2,2,2,2,2,2,4.00,4.00,4.00,4.00,4.00,2.00,3.00,3.57,3.75,4.00,2.00,Adecuado alto
subbloque,subbloque,B7,2,2,2,2,2,2,2,2,4.00,4.00,4.00,4.00,4.00,3.00,4.00,3.86,4.00,4.00,3.00,Excelente
subbloque,subbloque,C,6,4,6,6,6,6,6,6,4.00,3.83,3.33,3.67,3.50,2.17,3.50,3.39,3.58,3.75,2.17,Adecuado alto
dimension,Corrección lingüística,D1,65,63,,,,,,,,,,,,,,3.98,,,,Media por dimensión
dimension,Diagnóstico del fenómeno,D2,65,,65,,,,,,,,,,,,,3.98,,,,Media por dimensión
dimension,Socratismo / adaptación al comando,D3,65,,,65,,,,,,,,,,,,3.72,,,,Media por dimensión
dimension,Claridad explicativa,D4,65,,,,65,,,,,,,,,,,3.88,,,,Media por dimensión
dimension,Manejo de matices,D5,65,,,,,65,,,,,,,,,,3.75,,,,Media por dimensión
dimension,Fidelidad documental,D6,65,,,,,,65,,,,,,,,,2.34,,,,Media por dimensión
dimension,Transferencia / aplicación / seguridad,D7,65,,,,,,,65,,,,,,,,3.80,,,,Media por dimensión
