codigo_caso,bloque,subbloque,fichero_respuesta,fichero_evaluacion,D6_anterior,D6_corregida,incidencia_anterior,incidencia_corregida,expresion_detectada,decision,justificacion
S6,A,A1,04_respuestas_notebooklm/respuestas_NLM_A1.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md,1,1,I2; I8,I2; I8,no contienen información específica,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
G5,A,A2,04_respuestas_notebooklm/respuestas_NLM_A2.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md,1,1,I2,I2,no contienen información específica,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
G6,A,A2,04_respuestas_notebooklm/respuestas_NLM_A2.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md,1,1,I2,I2,no contienen información específica,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
O1,A,A3,04_respuestas_notebooklm/respuestas_NLM_A3.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md,3,1,I1,I2,norma académica general,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
O3,A,A3,04_respuestas_notebooklm/respuestas_NLM_A3.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md,3,1,I1,I2,información externa,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
O5,A,A3,04_respuestas_notebooklm/respuestas_NLM_A3.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A3.md,3,1,I1,I2,norma académica general,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
T4,A,A4,04_respuestas_notebooklm/respuestas_NLM_A4.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A4.md,3,1,I1,I2,norma académica general,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
P5,A,A5,04_respuestas_notebooklm/respuestas_NLM_A5.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A5.md,3,1,I1,I2,norma académica general,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
L1,A,A6,04_respuestas_notebooklm/respuestas_NLM_A6.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md,1,1,I2,I2,no contienen información específica,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
L2,A,A6,04_respuestas_notebooklm/respuestas_NLM_A6.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md,1,1,I2,I2,no contienen información específica,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
L3,A,A6,04_respuestas_notebooklm/respuestas_NLM_A6.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md,3,1,I1,I2,no contienen una entrada específica,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
L4,A,A6,04_respuestas_notebooklm/respuestas_NLM_A6.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md,1,1,I2,I2,no contienen información específica,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
L5,A,A6,04_respuestas_notebooklm/respuestas_NLM_A6.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A6.md,1,1,I2,I2,fuentes proporcionadas no contienen,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
E1,A,A7,04_respuestas_notebooklm/respuestas_NLM_A7.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md,3,1,I1,I2,criterios generales,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
E2,A,A7,04_respuestas_notebooklm/respuestas_NLM_A7.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md,1,1,I2,I2,no contienen una entrada específica,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
E3,A,A7,04_respuestas_notebooklm/respuestas_NLM_A7.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md,3,1,I1,I2,puedes verificar,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
E4,A,A7,04_respuestas_notebooklm/respuestas_NLM_A7.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A7.md,1,1,I2,I2,puedes verificar,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
C12,B,B4,04_respuestas_notebooklm/respuestas_NLM_B4.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B4.md,3,1,I1,I2,no contienen un apartado específico,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
C15,B,B6,04_respuestas_notebooklm/respuestas_NLM_B6.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_B6.md,3,1,I1; I6,I2; I6,información externa,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
CE1,C,C,04_respuestas_notebooklm/respuestas_NLM_C.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md,4,4,Sin incidencias,Sin incidencias,fuentes proporcionadas no contienen,Revisado sin modificación,La respuesta declara falta de cobertura y no ofrece solución externa; se limita a reconocer el límite documental.
CE3,C,C,04_respuestas_notebooklm/respuestas_NLM_C.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md,1,1,I2; I9,I2; I9,fuentes proporcionadas no contienen,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
CE5,C,C,04_respuestas_notebooklm/respuestas_NLM_C.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md,1,1,I2; I1,I2; I1,información externa,Revisado sin modificación,La matriz ya aplicaba la regla estricta de D6 o la incidencia documental correspondiente.
CE4,C,C,04_respuestas_notebooklm/respuestas_NLM_C.md,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_C.md,2,1,I1,I2,aunque las fuentes que tenemos cargadas no analizan,Modificado: D6=1 e I2,"La respuesta contiene declaración explícita de falta o insuficiencia de fuente y después ofrece contenido normativo, explicativo o recomendativo sustantivo."
